P(A, B, C, D, E, F, G, H, I) = 1.8000000000000006e-08
P(Not A, B, Not C, D, Not E, Not F, Not G, H, Not I) = 3.628799999999998e-05
P(Not A, B, Not C, D, Not E, Not F, Not G, Not H, I) = 3.628799999999999e-05
P(Not A, B, Not C, D, Not E, Not F, Not G, Not H, Not I) = 4.031999999999998e-06
P(Not A, B, Not C, Not D, E, F, G, H, I) = 7.2e-09
P(Not A, B, Not C, Not D, E, F, G, H, Not I) = 7.128e-07
P(Not A, B, Not C, Not D, E, F, G, Not H, I) = 1.296e-06
P(Not A, B, Not C, Not D, E, F, G, Not H, Not I) = 5.184e-06
P(Not A, B, Not C, Not D, E, F, Not G, H, I) = 6.720000000000001e-07
P(Not A, B, Not C, Not D, E, F, Not G, H, Not I) = 1.008e-06
P(Not A, B, Not C, Not D, E, F, Not G, Not H, I) = 1.3607999999999999e-05
P(Not A, B, Not C, Not D, E, F, Not G, Not H, Not I) = 1.5119999999999997e-06
P(Not A, B, Not C, Not D, E, Not F, G, H, I) = 6.479999999999998e-08
P(Not A, B, Not C, Not D, E, Not F, G, H, Not I) = 6.415199999999999e-06
P(Not A, B, Not C, Not D, E, Not F, G, Not H, I) = 8.639999999999999e-07
P(Not A, B, Not C, Not D, E, Not F, G, Not H, Not I) = 3.4559999999999996e-06
P(Not A, B, Not C, Not D, E, Not F, Not G, H, I) = 6.0479999999999995e-06
P(Not A, B, Not C, Not D, E, Not F, Not G, H, Not I) = 9.071999999999999e-06
P(Not A, B, Not C, Not D, E, Not F, Not G, Not H, I) = 9.071999999999999e-06
P(Not A, B, Not C, Not D, E, Not F, Not G, Not H, Not I) = 1.0079999999999997e-06
P(Not A, B, Not C, Not D, Not E, F, G, H, I) = 3.92e-08
P(Not A, B, Not C, Not D, Not E, F, G, H, Not I) = 3.880799999999999e-06
P(Not A, B, Not C, Not D, Not E, F, G, Not H, I) = 7.056000000000001e-06
P(Not A, B, Not C, Not D, Not E, F, G, Not H, Not I) = 2.8224000000000003e-05
P(Not A, B, Not C, Not D, Not E, F, Not G, H, I) = 6.720000000000001e-07
P(Not A, B, Not C, Not D, Not E, F, Not G, H, Not I) = 1.0080000000000001e-06
P(Not A, B, Not C, Not D, Not E, F, Not G, Not H, I) = 1.3608000000000003e-05
P(Not A, B, Not C, Not D, Not E, F, Not G, Not H, Not I) = 1.5119999999999999e-06
P(Not A, B, Not C, Not D, Not E, Not F, G, H, I) = 3.5279999999999993e-07
P(Not A, B, Not C, Not D, Not E, Not F, G, H, Not I) = 3.492719999999999e-05
P(Not A, B, Not C, Not D, Not E, Not F, G, Not H, I) = 4.704e-06
P(Not A, B, Not C, Not D, Not E, Not F, G, Not H, Not I) = 1.8816e-05
P(Not A, B, Not C, Not D, Not E, Not F, Not G, H, I) = 6.048e-06
P(Not A, B, Not C, Not D, Not E, Not F, Not G, H, Not I) = 9.072e-06
P(Not A, B, Not C, Not D, Not E, Not F, Not G, Not H, I) = 9.072000000000002e-06
P(Not A, B, Not C, Not D, Not E, Not F, Not G, Not H, Not I) = 1.008e-06
P(Not A, Not B, C, D, E, F, G, H, I) = 5.346e-06
P(Not A, Not B, C, D, E, F, G, H, Not I) = 0.0005292539999999999
P(Not A, Not B, C, D, E, F, G, Not H, I) = 0.0009622800000000001
P(Not A, Not B, C, D, E, F, G, Not H, Not I) = 0.0038491200000000006
P(Not A, Not B, C, D, E, F, Not G, H, I) = 0.00032076
P(Not A, Not B, C, D, E, F, Not G, H, Not I) = 0.00048114
P(Not A, Not B, C, D, E, F, Not G, Not H, I) = 0.006495390000000001
P(Not A, Not B, C, D, E, F, Not G, Not H, Not I) = 0.0007217099999999999
P(Not A, Not B, C, D, E, Not F, G, H, I) = 3.2076e-05
P(Not A, Not B, C, D, E, Not F, G, H, Not I) = 0.003175524
P(Not A, Not B, C, D, E, Not F, G, Not H, I) = 0.00042768
P(Not A, Not B, C, D, E, Not F, G, Not H, Not I) = 0.00171072
P(Not A, Not B, C, D, E, Not F, Not G, H, I) = 0.0019245599999999999
P(Not A, Not B, C, D, E, Not F, Not G, H, Not I) = 0.0028868399999999995
P(Not A, Not B, C, D, E, Not F, Not G, Not H, I) = 0.0028868400000000003
P(Not A, Not B, C, D, E, Not F, Not G, Not H, Not I) = 0.00032075999999999996
P(Not A, Not B, C, D, Not E, F, G, H, I) = 2.4057000000000004e-05
P(Not A, Not B, C, D, Not E, F, G, H, Not I) = 0.002381643
P(Not A, Not B, C, D, Not E, F, G, Not H, I) = 0.00433026
P(Not A, Not B, C, D, Not E, F, G, Not H, Not I) = 0.01732104
P(Not A, Not B, C, D, Not E, F, Not G, H, I) = 0.0038491200000000006
P(Not A, Not B, C, D, Not E, F, Not G, H, Not I) = 0.005773680000000001
P(Not A, Not B, C, D, Not E, F, Not G, Not H, I) = 0.07794468
P(Not A, Not B, C, D, Not E, F, Not G, Not H, Not I) = 0.008660519999999998
P(Not A, Not B, C, D, Not E, Not F, G, H, I) = 0.00014434199999999997
P(Not A, Not B, C, D, Not E, Not F, G, H, Not I) = 0.014289857999999997
P(Not A, Not B, C, D, Not E, Not F, G, Not H, I) = 0.0019245600000000003
P(Not A, Not B, C, D, Not E, Not F, G, Not H, Not I) = 0.007698240000000001
P(Not A, Not B, C, D, Not E, Not F, Not G, H, I) = 0.02309472
P(Not A, Not B, C, D, Not E, Not F, Not G, H, Not I) = 0.03464207999999999
P(Not A, Not B, C, D, Not E, Not F, Not G, Not H, I) = 0.034642080000000006
P(Not A, Not B, C, D, Not E, Not F, Not G, Not H, Not I) = 0.0038491199999999993
P(Not A, Not B, C, Not D, E, F, G, H, I) = 2.6730000000000005e-06
P(Not A, Not B, C, Not D, E, F, G, H, Not I) = 0.000264627
P(Not A, Not B, C, Not D, E, F, G, Not H, I) = 0.0004811400000000001
P(Not A, Not B, C, Not D, E, F, G, Not H, Not I) = 0.0019245600000000005
P(Not A, Not B, C, Not D, E, F, Not G, H, I) = 0.00024948
P(Not A, Not B, C, Not D, E, F, Not G, H, Not I) = 0.00037422000000000003
P(Not A, Not B, C, Not D, E, F, Not G, Not H, I) = 0.005051970000000001
P(Not A, Not B, C, Not D, E, F, Not G, Not H, Not I) = 0.00056133
P(Not A, Not B, C, Not D, E, Not F, G, H, I) = 1.6038000000000005e-05
P(Not A, Not B, C, Not D, E, Not F, G, H, Not I) = 0.0015877620000000002
P(Not A, Not B, C, Not D, E, Not F, G, Not H, I) = 0.00021384000000000005
P(Not A, Not B, C, Not D, E, Not F, G, Not H, Not I) = 0.0008553600000000002
P(Not A, Not B, C, Not D, E, Not F, Not G, H, I) = 0.0014968800000000001
P(Not A, Not B, C, Not D, E, Not F, Not G, H, Not I) = 0.00224532
P(Not A, Not B, C, Not D, E, Not F, Not G, Not H, I) = 0.0022453200000000003
P(Not A, Not B, C, Not D, E, Not F, Not G, Not H, Not I) = 0.00024947999999999995
P(Not A, Not B, C, Not D, Not E, F, G, H, I) = 5.6133000000000006e-05
P(Not A, Not B, C, Not D, Not E, F, G, H, Not I) = 0.005557167000000001
P(Not A, Not B, C, Not D, Not E, F, G, Not H, I) = 0.01010394
P(Not A, Not B, C, Not D, Not E, F, G, Not H, Not I) = 0.04041576
P(Not A, Not B, C, Not D, Not E, F, Not G, H, I) = 0.0009622800000000003
P(Not A, Not B, C, Not D, Not E, F, Not G, H, Not I) = 0.0014434200000000004
P(Not A, Not B, C, Not D, Not E, F, Not G, Not H, I) = 0.019486170000000004
P(Not A, Not B, C, Not D, Not E, F, Not G, Not H, Not I) = 0.00216513
P(Not A, Not B, C, Not D, Not E, Not F, G, H, I) = 0.000336798
P(Not A, Not B, C, Not D, Not E, Not F, G, H, Not I) = 0.033343002000000004
P(Not A, Not B, C, Not D, Not E, Not F, G, Not H, I) = 0.004490640000000001
P(Not A, Not B, C, Not D, Not E, Not F, G, Not H, Not I) = 0.017962560000000002
P(Not A, Not B, C, Not D, Not E, Not F, Not G, H, I) = 0.0057736800000000015
P(Not A, Not B, C, Not D, Not E, Not F, Not G, H, Not I) = 0.008660520000000001
P(Not A, Not B, C, Not D, Not E, Not F, Not G, Not H, I) = 0.008660520000000003
P(Not A, Not B, C, Not D, Not E, Not F, Not G, Not H, Not I) = 0.00096228
P(Not A, Not B, Not C, D, E, F, G, H, I) = 2.376e-07
P(Not A, Not B, Not C, D, E, F, G, H, Not I) = 2.35224e-05
P(Not A, Not B, Not C, D, E, F, G, Not H, I) = 4.2767999999999994e-05
P(Not A, Not B, Not C, D, E, F, G, Not H, Not I) = 0.00017107199999999998
P(Not A, Not B, Not C, D, E, F, Not G, H, I) = 1.4256e-05
P(Not A, Not B, Not C, D, E, F, Not G, H, Not I) = 2.1383999999999997e-05
P(Not A, Not B, Not C, D, E, F, Not G, Not H, I) = 0.000288684
P(Not A, Not B, Not C, D, E, F, Not G, Not H, Not I) = 3.207599999999999e-05
P(Not A, Not B, Not C, D, E, Not F, G, H, I) = 5.7024e-06
P(Not A, Not B, Not C, D, E, Not F, G, H, Not I) = 0.0005645375999999999
P(Not A, Not B, Not C, D, E, Not F, G, Not H, I) = 7.6032e-05
P(Not A, Not B, Not C, D, E, Not F, G, Not H, Not I) = 0.000304128
P(Not A, Not B, Not C, D, E, Not F, Not G, H, I) = 0.00034214399999999996
P(Not A, Not B, Not C, D, E, Not F, Not G, H, Not I) = 0.0005132159999999998
P(Not A, Not B, Not C, D, E, Not F, Not G, Not H, I) = 0.0005132159999999999
P(Not A, Not B, Not C, D, E, Not F, Not G, Not H, Not I) = 5.702399999999998e-05
P(Not A, Not B, Not C, D, Not E, F, G, H, I) = 1.0692e-06
P(Not A, Not B, Not C, D, Not E, F, G, H, Not I) = 0.0001058508
P(Not A, Not B, Not C, D, Not E, F, G, Not H, I) = 0.00019245600000000003
P(Not A, Not B, Not C, D, Not E, F, G, Not H, Not I) = 0.0007698240000000001
P(Not A, Not B, Not C, D, Not E, F, Not G, H, I) = 0.000171072
P(Not A, Not B, Not C, D, Not E, F, Not G, H, Not I) = 0.00025660799999999997
P(Not A, Not B, Not C, D, Not E, F, Not G, Not H, I) = 0.0034642080000000003
P(Not A, Not B, Not C, D, Not E, F, Not G, Not H, Not I) = 0.00038491199999999995
P(Not A, Not B, Not C, D, Not E, Not F, G, H, I) = 2.5660799999999997e-05
P(Not A, Not B, Not C, D, Not E, Not F, G, H, Not I) = 0.0025404191999999996
P(Not A, Not B, Not C, D, Not E, Not F, G, Not H, I) = 0.000342144
P(Not A, Not B, Not C, D, Not E, Not F, G, Not H, Not I) = 0.001368576
P(Not A, Not B, Not C, D, Not E, Not F, Not G, H, I) = 0.0041057279999999995
P(Not A, Not B, Not C, D, Not E, Not F, Not G, H, Not I) = 0.006158591999999999
P(Not A, Not B, Not C, D, Not E, Not F, Not G, Not H, I) = 0.006158592
P(Not A, Not B, Not C, D, Not E, Not F, Not G, Not H, Not I) = 0.0006842879999999998
P(Not A, Not B, Not C, Not D, E, F, G, H, I) = 1.1880000000000002e-07
P(Not A, Not B, Not C, Not D, E, F, G, H, Not I) = 1.1761200000000002e-05
P(Not A, Not B, Not C, Not D, E, F, G, Not H, I) = 2.1384e-05
P(Not A, Not B, Not C, Not D, E, F, G, Not H, Not I) = 8.5536e-05
P(Not A, Not B, Not C, Not D, E, F, Not G, H, I) = 1.1088000000000001e-05
P(Not A, Not B, Not C, Not D, E, F, Not G, H, Not I) = 1.6632e-05
P(Not A, Not B, Not C, Not D, E, F, Not G, Not H, I) = 0.000224532
P(Not A, Not B, Not C, Not D, E, F, Not G, Not H, Not I) = 2.4947999999999996e-05
P(Not A, Not B, Not C, Not D, E, Not F, G, H, I) = 2.8512e-06
P(Not A, Not B, Not C, Not D, E, Not F, G, H, Not I) = 0.00028226879999999996
P(Not A, Not B, Not C, Not D, E, Not F, G, Not H, I) = 3.801600000000001e-05
P(Not A, Not B, Not C, Not D, E, Not F, G, Not H, Not I) = 0.00015206400000000004
P(Not A, Not B, Not C, Not D, E, Not F, Not G, H, I) = 0.000266112
P(Not A, Not B, Not C, Not D, E, Not F, Not G, H, Not I) = 0.000399168
P(Not A, Not B, Not C, Not D, E, Not F, Not G, Not H, I) = 0.00039916800000000004
P(Not A, Not B, Not C, Not D, E, Not F, Not G, Not H, Not I) = 4.435199999999999e-05
P(Not A, Not B, Not C, Not D, Not E, F, G, H, I) = 2.4948000000000002e-06
P(Not A, Not B, Not C, Not D, Not E, F, G, H, Not I) = 0.0002469852
P(Not A, Not B, Not C, Not D, Not E, F, G, Not H, I) = 0.000449064
P(Not A, Not B, Not C, Not D, Not E, F, G, Not H, Not I) = 0.001796256
P(Not A, Not B, Not C, Not D, Not E, F, Not G, H, I) = 4.2768000000000015e-05
P(Not A, Not B, Not C, Not D, Not E, F, Not G, H, Not I) = 6.415200000000002e-05
P(Not A, Not B, Not C, Not D, Not E, F, Not G, Not H, I) = 0.0008660520000000002
P(Not A, Not B, Not C, Not D, Not E, F, Not G, Not H, Not I) = 9.622799999999999e-05
P(Not A, Not B, Not C, Not D, Not E, Not F, G, H, I) = 5.987519999999999e-05
P(Not A, Not B, Not C, Not D, Not E, Not F, G, H, Not I) = 0.005927644799999999
P(Not A, Not B, Not C, Not D, Not E, Not F, G, Not H, I) = 0.0007983360000000001
P(Not A, Not B, Not C, Not D, Not E, Not F, G, Not H, Not I) = 0.0031933440000000003
P(Not A, Not B, Not C, Not D, Not E, Not F, Not G, H, I) = 0.0010264320000000003
P(Not A, Not B, Not C, Not D, Not E, Not F, Not G, H, Not I) = 0.0015396480000000002
P(Not A, Not B, Not C, Not D, Not E, Not F, Not G, Not H, I) = 0.0015396480000000004
P(Not A, Not B, Not C, Not D, Not E, Not F, Not G, Not H, Not I) = 0.000171072
